No iterations: 800
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
3.21, 5.18784, 1.44251,-1.78177,6.81216, -1.44251,1.78177
3.22, 5.20227, 1.42469,-1.8034,6.79773, -1.42469,1.8034
3.23, 5.21652, 1.40666,-1.82477,6.78348, -1.40666,1.82477
3.24, 5.23058, 1.38841,-1.84587,6.76942, -1.38841,1.84587
3.25, 5.24447, 1.36995,-1.8667,6.75553, -1.36995,1.8667
3.26, 5.25817, 1.35129,-1.88725,6.74183, -1.35129,1.88725
3.27, 5.27168, 1.33241,-1.90752,6.72832, -1.33241,1.90752
3.28, 5.285, 1.31334,-1.9275,6.715, -1.31334,1.9275
3.29, 5.29814, 1.29406,-1.94721,6.70186, -1.29406,1.94721
3.3, 5.31108, 1.27459,-1.96662,6.68892, -1.27459,1.96662
3.31, 5.32382, 1.25492,-1.98573,6.67618, -1.25492,1.98573
3.32, 5.33637, 1.23507,-2.00456,6.66363, -1.23507,2.00456
3.33, 5.34872, 1.21502,-2.02308,6.65128, -1.21502,2.02308
3.34, 5.36087, 1.19479,-2.04131,6.63913, -1.19479,2.04131
3.35, 5.37282, 1.17438,-2.05923,6.62718, -1.17438,2.05923
3.36, 5.38456, 1.15379,-2.07685,6.61544, -1.15379,2.07685
3.37, 5.3961, 1.13302,-2.09415,6.6039, -1.13302,2.09415
3.38, 5.40743, 1.11208,-2.11115,6.59257, -1.11208,2.11115
3.39, 5.41855, 1.09096,-2.12783,6.58145, -1.09096,2.12783
3.4, 5.42946, 1.06969,-2.1442,6.57054, -1.06969,2.1442
3.41, 5.44016, 1.04824,-2.16024,6.55984, -1.04824,2.16024
3.42, 5.45064, 1.02664,-2.17596,6.54936, -1.02664,2.17596
3.43, 5.46091, 1.00488,-2.19136,6.53909, -1.00488,2.19136
3.44, 5.47096, 0.982968,-2.20644,6.52904, -0.982968,2.20644
3.45, 5.48079, 0.960904,-2.22118,6.51921, -0.960904,2.22118
3.46, 5.4904, 0.938692,-2.23559,6.5096, -0.938692,2.23559
3.47, 5.49978, 0.916336,-2.24968,6.50022, -0.916336,2.24968
3.48, 5.50895, 0.893839,-2.26342,6.49105, -0.893839,2.26342
3.49, 5.51789, 0.871205,-2.27683,6.48211, -0.871205,2.27683
3.5, 5.5266, 0.848437,-2.2899,6.4734, -0.848437,2.2899
3.51, 5.53508, 0.825538,-2.30262,6.46492, -0.825538,2.30262
3.52, 5.54334, 0.802511,-2.31501,6.45666, -0.802511,2.31501
3.53, 5.55136, 0.779361,-2.32704,6.44864, -0.779361,2.32704
