No iterations: 800
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
2.78, 4.54539, -2.45962,-1.56809,7.21677, 0.98595,-0.325149
2.79, 4.5208, -2.4753,-1.5312,7.22663, 0.982698,-0.339938
2.8, 4.49604, -2.49062,-1.49407,7.23645, 0.979299,-0.354679
2.81, 4.47114, -2.50556,-1.45671,7.24625, 0.975752,-0.369368
2.82, 4.44608, -2.52012,-1.41912,7.256, 0.972059,-0.384004
2.83, 4.42088, -2.53431,-1.38132,7.26572, 0.968218,-0.398586
2.84, 4.39554, -2.54813,-1.34331,7.27541, 0.964233,-0.413109
2.85, 4.37006, -2.56156,-1.30508,7.28505, 0.960102,-0.427572
2.86, 4.34444, -2.57461,-1.26666,7.29465, 0.955826,-0.441974
2.87, 4.31869, -2.58728,-1.22804,7.30421, 0.951406,-0.456311
2.88, 4.29282, -2.59956,-1.18923,7.31372, 0.946843,-0.470582
2.89, 4.26683, -2.61145,-1.15024,7.32319, 0.942137,-0.484785
2.9, 4.24071, -2.62295,-1.11107,7.33261, 0.937289,-0.498917
2.91, 4.21448, -2.63406,-1.07172,7.34198, 0.9323,-0.512976
2.92, 4.18814, -2.64478,-1.03221,7.35131, 0.92717,-0.52696
2.93, 4.16169, -2.6551,-0.99254,7.36058, 0.921901,-0.540869
2.94, 4.13514, -2.66503,-0.952714,7.3698, 0.916492,-0.554697
2.95, 4.10849, -2.67456,-0.912739,7.37896, 0.910945,-0.568444
2.96, 4.08175, -2.68368,-0.87262,7.38807, 0.905261,-0.582108
2.97, 4.05491, -2.69241,-0.832365,7.39712, 0.89944,-0.595687
2.98, 4.02799, -2.70073,-0.791978,7.40612, 0.893483,-0.609179
2.99, 4.00098, -2.70865,-0.751468,7.41505, 0.887391,-0.622581
3, 3.97389, -2.71617,-0.710838,7.42393, 0.881165,-0.635892
3.01, 3.94673, -2.72328,-0.670095,7.43274, 0.874806,-0.64911
3.02, 3.9195, -2.72998,-0.629246,7.44149, 0.868315,-0.662232
3.03, 3.8922, -2.73627,-0.588296,7.45017, 0.861693,-0.675256
3.04, 3.86483, -2.74215,-0.547253,7.45879, 0.85494,-0.688182
3.05, 3.83741, -2.74763,-0.50612,7.46734, 0.848058,-0.701006
3.06, 3.80994, -2.75269,-0.464906,7.47582, 0.841048,-0.713727
3.07, 3.78241, -2.75734,-0.423616,7.48423, 0.833911,-0.726342
