No iterations: 20000
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0.0275, 0.972635, -0.985163,1.08032,2.02736, 0.985163,-1.08032
0.0276, 0.972537, -0.985055,1.08421,2.02746, 0.985055,-1.08421
0.0277, 0.972438, -0.984946,1.0881,2.02756, 0.984946,-1.0881
0.0278, 0.97234, -0.984838,1.09199,2.02766, 0.984838,-1.09199
0.0279, 0.972241, -0.984728,1.09588,2.02776, 0.984728,-1.09588
0.028, 0.972143, -0.984619,1.09976,2.02786, 0.984619,-1.09976
0.0281, 0.972044, -0.984509,1.10365,2.02796, 0.984509,-1.10365
0.0282, 0.971946, -0.984398,1.10754,2.02805, 0.984398,-1.10754
0.0283, 0.971847, -0.984288,1.11142,2.02815, 0.984288,-1.11142
0.0284, 0.971749, -0.984177,1.11531,2.02825, 0.984177,-1.11531
0.0285, 0.97165, -0.984065,1.1192,2.02835, 0.984065,-1.1192
0.0286, 0.971552, -0.983953,1.12308,2.02845, 0.983953,-1.12308
0.0287, 0.971454, -0.983841,1.12696,2.02855, 0.983841,-1.12696
0.0288, 0.971355, -0.983728,1.13085,2.02864, 0.983728,-1.13085
0.0289, 0.971257, -0.983615,1.13473,2.02874, 0.983615,-1.13473
0.029, 0.971159, -0.983502,1.13862,2.02884, 0.983502,-1.13862
0.0291, 0.97106, -0.983388,1.1425,2.02894, 0.983388,-1.14249
0.0292, 0.970962, -0.983273,1.14638,2.02904, 0.983273,-1.14638
0.0293, 0.970864, -0.983159,1.15026,2.02914, 0.983159,-1.15026
0.0294, 0.970765, -0.983044,1.15414,2.02923, 0.983044,-1.15415
0.0295, 0.970667, -0.982928,1.15802,2.02933, 0.982928,-1.15803
0.0296, 0.970569, -0.982813,1.1619,2.02943, 0.982813,-1.1619
0.0297, 0.97047, -0.982696,1.16578,2.02953, 0.982696,-1.16578
0.0298, 0.970372, -0.98258,1.16966,2.02963, 0.98258,-1.16967
0.0299, 0.970274, -0.982463,1.17355,2.02973, 0.982463,-1.17355
0.03, 0.970176, -0.982345,1.17742,2.02982, 0.982345,-1.17742
0.0301, 0.970077, -0.982228,1.1813,2.02992, 0.982228,-1.1813
0.0302, 0.969979, -0.98211,1.18518,2.03002, 0.98211,-1.18518
0.0303, 0.969881, -0.981991,1.18906,2.03012, 0.981991,-1.18906
0.0304, 0.969783, -0.981872,1.19293,2.03022, 0.981872,-1.19293
0.0305, 0.969685, -0.981753,1.1968,2.03032, 0.981753,-1.1968
0.0306, 0.969586, -0.981633,1.20068,2.03041, 0.981633,-1.20068
0.0307, 0.969488, -0.981513,1.20456,2.03051, 0.981513,-1.20456
0.0308, 0.96939, -0.981393,1.20843,2.03061, 0.981393,-1.20844
0.0309, 0.969292, -0.981272,1.21231,2.03071, 0.981272,-1.21231
0.031, 0.969194, -0.981151,1.21618,2.03081, 0.981151,-1.21618
0.0311, 0.969096, -0.981029,1.22005,2.0309, 0.981029,-1.22005
0.0312, 0.968998, -0.980907,1.22393,2.031, 0.980907,-1.22393
0.0313, 0.968899, -0.980785,1.2278,2.0311, 0.980785,-1.2278
0.0314, 0.968801, -0.980662,1.23167,2.0312, 0.980662,-1.23168
0.0315, 0.968703, -0.980539,1.23554,2.0313, 0.980539,-1.23555
0.0316, 0.968605, -0.980415,1.23941,2.03139, 0.980415,-1.23941
0.0317, 0.968507, -0.980291,1.24328,2.03149, 0.980291,-1.24328
0.0318, 0.968409, -0.980167,1.24715,2.03159, 0.980167,-1.24715
0.0319, 0.968311, -0.980042,1.25103,2.03169, 0.980042,-1.25103
0.032, 0.968213, -0.979917,1.2549,2.03179, 0.979917,-1.2549
0.0321, 0.968115, -0.979791,1.25876,2.03188, 0.979791,-1.25877
0.0322, 0.968017, -0.979666,1.26263,2.03198, 0.979666,-1.26263
0.0323, 0.967919, -0.979539,1.2665,2.03208, 0.979539,-1.2665
0.0324, 0.967821, -0.979413,1.27036,2.03218, 0.979413,-1.27036
0.0325, 0.967723, -0.979286,1.27423,2.03228, 0.979286,-1.27423
0.0326, 0.967625, -0.979158,1.2781,2.03237, 0.979158,-1.2781
0.0327, 0.967527, -0.97903,1.28196,2.03247, 0.97903,-1.28197
0.0328, 0.96743, -0.978902,1.28583,2.03257, 0.978902,-1.28583
0.0329, 0.967332, -0.978774,1.28969,2.03267, 0.978774,-1.28969
0.033, 0.967234, -0.978645,1.29355,2.03277, 0.978645,-1.29355
0.0331, 0.967136, -0.978515,1.29742,2.03286, 0.978515,-1.29742
0.0332, 0.967038, -0.978386,1.30128,2.03296, 0.978386,-1.30128
0.0333, 0.96694, -0.978255,1.30515,2.03306, 0.978255,-1.30515
0.0334, 0.966842, -0.978125,1.30901,2.03316, 0.978125,-1.30901
0.0335, 0.966745, -0.977994,1.31287,2.03326, 0.977994,-1.31287
0.0336, 0.966647, -0.977863,1.31673,2.03335, 0.977863,-1.31673
0.0337, 0.966549, -0.977731,1.32059,2.03345, 0.977731,-1.32059
0.0338, 0.966451, -0.977599,1.32445,2.03355, 0.977599,-1.32445
0.0339, 0.966354, -0.977467,1.32831,2.03365, 0.977467,-1.32831
0.034, 0.966256, -0.977334,1.33217,2.03374, 0.977334,-1.33217
0.0341, 0.966158, -0.977201,1.33603,2.03384, 0.9772,-1.33603
0.0342, 0.96606, -0.977067,1.33988,2.03394, 0.977067,-1.33988
0.0343, 0.965963, -0.976933,1.34374,2.03404, 0.976933,-1.34374
0.0344, 0.965865, -0.976799,1.3476,2.03414, 0.976799,-1.3476
0.0345, 0.965767, -0.976664,1.35146,2.03423, 0.976664,-1.35146
